# This file is generated on 25-Nov-2021 at 16:51:56 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Austria Graz  (Lat = 4.7070e+01 deg, Lon = 1.5440e+01 deg, Alt = 3.5300e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.5667e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4988e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8891e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.3163e+00, 1.9000e+01
1, 1, 7.5000e+01, 9.0657e-01, 3.0000e+01
1, 1, 7.5000e+01, 7.1175e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.8775e-01, 5.0000e+01
1, 1, 7.5000e+01, 5.0143e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.3767e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.8853e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.4945e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.1761e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.5089e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.3257e+01, 1.6000e-02
1, 1, 7.5000e+01, 6.0955e+01, 2.7000e-02
1, 1, 7.5000e+01, 5.0060e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.9948e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.1477e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4907e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.9088e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.4149e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0797e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.5143e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.1629e+00, 3.0000e+00
