# This file is generated on 25-Nov-2021 at 17:05:18 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
1, 1, 3.7500e+01, 1.7839e+00, 3.0000e+00
1, 1, 3.7500e+01, 1.4672e+00, 5.1000e+00
1, 1, 3.7500e+01, 1.1724e+00, 8.3000e+00
1, 1, 3.7500e+01, 9.4465e-01, 1.2000e+01
1, 1, 3.7500e+01, 6.5334e-01, 1.9000e+01
1, 1, 3.7500e+01, 3.5339e-01, 3.0000e+01
1, 1, 3.7500e+01, 1.5811e-01, 4.0000e+01
1, 1, 3.7500e+01, 2.7976e-03, 5.0000e+01
1, 1, 3.7500e+01, -1.2680e-01, 6.0000e+01
1, 1, 3.7500e+01, -2.3838e-01, 7.0000e+01
1, 1, 3.7500e+01, -3.3659e-01, 8.0000e+01
1, 1, 3.7500e+01, -4.2448e-01, 9.0000e+01
1, 1, 3.7500e+01, -5.0405e-01, 9.9990e+01
1, 1, 3.7500e+01, 5.8511e+00, 1.0000e-02
1, 1, 3.7500e+01, 5.4124e+00, 1.6000e-02
1, 1, 3.7500e+01, 4.9558e+00, 2.7000e-02
1, 1, 3.7500e+01, 4.5392e+00, 4.5000e-02
1, 1, 3.7500e+01, 4.1286e+00, 7.7000e-02
1, 1, 3.7500e+01, 3.7517e+00, 1.3000e-01
1, 1, 3.7500e+01, 3.4240e+00, 2.1000e-01
1, 1, 3.7500e+01, 3.0901e+00, 3.5000e-01
1, 1, 3.7500e+01, 2.7512e+00, 6.0000e-01
1, 1, 3.7500e+01, 2.4703e+00, 9.5000e-01
1, 1, 3.7500e+01, 2.1214e+00, 1.7000e+00
