# This file is generated on 12-Dec-2021 at 19:53:16 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Graz (Lat = 4.7090e+01 deg, Lon = 1.5460e+01 deg, Alt = 4.6800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4190e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.3937e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8085e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2593e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.6674e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8020e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6151e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.7891e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.1792e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7092e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3355e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0312e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.2326e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.0828e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.8888e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8326e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8534e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0339e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.3989e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8371e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3607e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0376e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2150e+00, 1.7000e+00
1, 1, 7.5000e+01, 4.9531e+00, 3.0000e+00
