# This file is generated on 25-Nov-2021 at 16:57:15 and contains for each site, each satellite, frequency:
# att_rain_cdf_val = cdf value of attenuation due to rain (dB); att_rain_cdf_prob = cdf probability of attenuation due to rain (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to rain results are sorted acording to the site identification number:
#    _ 1 = Norway Isfjord radio (Lat = 7.8060e+01 deg, Lon = 1.3620e+01 deg, Alt = 1.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_rain_cdf_val (dB), att_rain_cdf_prob (%)
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
1, 1, 7.5000e+01, 3.4605e+00, 5.1000e+00
1, 1, 7.5000e+01, 2.4232e+00, 8.3000e+00
1, 1, 7.5000e+01, 1.8312e+00, 1.2000e+01
1, 1, 7.5000e+01, 1.2753e+00, 1.9000e+01
1, 1, 7.5000e+01, 8.7792e-01, 3.0000e+01
1, 1, 7.5000e+01, 6.8905e-01, 4.0000e+01
1, 1, 7.5000e+01, 5.6887e-01, 5.0000e+01
1, 1, 7.5000e+01, 4.8523e-01, 6.0000e+01
1, 1, 7.5000e+01, 4.2346e-01, 7.0000e+01
1, 1, 7.5000e+01, 3.7586e-01, 8.0000e+01
1, 1, 7.5000e+01, 3.3801e-01, 9.0000e+01
1, 1, 7.5000e+01, 3.0718e-01, 9.9990e+01
1, 1, 7.5000e+01, 8.3105e+01, 1.0000e-02
1, 1, 7.5000e+01, 7.1512e+01, 1.6000e-02
1, 1, 7.5000e+01, 5.9470e+01, 2.7000e-02
1, 1, 7.5000e+01, 4.8814e+01, 4.5000e-02
1, 1, 7.5000e+01, 3.8932e+01, 7.7000e-02
1, 1, 7.5000e+01, 3.0659e+01, 1.3000e-01
1, 1, 7.5000e+01, 2.4247e+01, 2.1000e-01
1, 1, 7.5000e+01, 1.8573e+01, 3.5000e-01
1, 1, 7.5000e+01, 1.3759e+01, 6.0000e-01
1, 1, 7.5000e+01, 1.0494e+01, 9.5000e-01
1, 1, 7.5000e+01, 7.2991e+00, 1.7000e+00
1, 1, 7.5000e+01, 5.0120e+00, 3.0000e+00
